AMZ_SKU;WALMART_SKU_OVERRIDE;INCLUDE;ASIN;Units_30d;Stock;Price_USD;UPC;Brand;Amazon_Title;Num_Images;Main_Image;All_Images
MagHolder02;;YES;B0DXDZCS5B;286;298;19.99;NEEDED_MONDAY;BLAUBECK;BLAUBECK Bike Mount Stroller Phone Holder for MagSafe - Universal Magnetic Phone Mount for Stroller, Treadmill, Golf Push Cart, Steering Wheel, Peloton Bike & Tread - Exercise Accessories for iPhone;24;https://m.media-amazon.com/images/I/41Am2YyTvmL.jpg;https://m.media-amazon.com/images/I/41Am2YyTvmL.jpg | https://m.media-amazon.com/images/I/41Am2YyTvmL._SL75_.jpg | https://m.media-amazon.com/images/I/718xgqTlwbL.jpg | https://m.media-amazon.com/images/I/41MRrDrtFnL.jpg | https://m.media-amazon.com/images/I/41MRrDrtFnL._SL75_.jpg | https://m.media-amazon.com/images/I/71NzurWEYHL.jpg | https://m.media-amazon.com/images/I/512-rH9RifL.jpg | https://m.media-amazon.com/images/I/512-rH9RifL._SL75_.jpg | https://m.media-amazon.com/images/I/71AAJTpRwCL.jpg | https://m.media-amazon.com/images/I/41XqW022sAL.jpg | https://m.media-amazon.com/images/I/41XqW022sAL._SL75_.jpg | https://m.media-amazon.com/images/I/71RUt4koYxL.jpg | https://m.media-amazon.com/images/I/41m02I6BgvL.jpg | https://m.media-amazon.com/images/I/41m02I6BgvL._SL75_.jpg | https://m.media-amazon.com/images/I/81BEpOQOIHL.jpg | https://m.media-amazon.com/images/I/41R9uD-aXfL.jpg | https://m.media-amazon.com/images/I/41R9uD-aXfL._SL75_.jpg | https://m.media-amazon.com/images/I/71PG+VakS+L.jpg | https://m.media-amazon.com/images/I/51heG15pb1L.jpg | https://m.media-amazon.com/images/I/51heG15pb1L._SL75_.jpg | https://m.media-amazon.com/images/I/81SSuUxN3gL.jpg | https://m.media-amazon.com/images/I/31j9YlG0HwL.jpg | https://m.media-amazon.com/images/I/31j9YlG0HwL._SL75_.jpg | https://m.media-amazon.com/images/I/61sFhhrY+sL.jpg
MedalChalk01;;NO;B0CM7VZ9R3;178;1043;38.95;NEEDED_MONDAY;BLAUBECK;BLAUBECK Medal Hanger Display for Runners, Marathon Medal Holder Display Wall Hanger and Race Bib Boards Holder with Chalkboard Marker - Holds up to 50 Medals, 40 Race Bibs;24;https://m.media-amazon.com/images/I/81s9wlNLhNL.jpg;https://m.media-amazon.com/images/I/81s9wlNLhNL.jpg | https://m.media-amazon.com/images/I/51H7gWRVf6L.jpg | https://m.media-amazon.com/images/I/51H7gWRVf6L._SL75_.jpg | https://m.media-amazon.com/images/I/71NkqnitiYL.jpg | https://m.media-amazon.com/images/I/51uiAmR7OUL.jpg | https://m.media-amazon.com/images/I/51uiAmR7OUL._SL75_.jpg | https://m.media-amazon.com/images/I/61cfWZixqEL.jpg | https://m.media-amazon.com/images/I/41SyRziCleL.jpg | https://m.media-amazon.com/images/I/41SyRziCleL._SL75_.jpg | https://m.media-amazon.com/images/I/81-3mQWWaqL.jpg | https://m.media-amazon.com/images/I/51u0-ebRdxL.jpg | https://m.media-amazon.com/images/I/51u0-ebRdxL._SL75_.jpg | https://m.media-amazon.com/images/I/61mBSc6Su-L.jpg | https://m.media-amazon.com/images/I/41PEDRXYchL.jpg | https://m.media-amazon.com/images/I/41PEDRXYchL._SL75_.jpg | https://m.media-amazon.com/images/I/71fMaqr9YdL.jpg | https://m.media-amazon.com/images/I/410-pRnyNhL.jpg | https://m.media-amazon.com/images/I/410-pRnyNhL._SL75_.jpg | https://m.media-amazon.com/images/I/81MfFvp8kmL.jpg | https://m.media-amazon.com/images/I/51Tl9VuLMvL.jpg | https://m.media-amazon.com/images/I/51Tl9VuLMvL._SL75_.jpg | https://m.media-amazon.com/images/I/81frQA0SZRL.jpg | https://m.media-amazon.com/images/I/51Tah696W+L.jpg | https://m.media-amazon.com/images/I/51Tah696W+L._SL75_.jpg
MagHolder04;;YES;B0F7R56VZ3;159;306;19.99;NEEDED_MONDAY;BLAUBECK;BLAUBECK Thick Gym Magnetic Phone Mount & Stand – Dual-Sided Strong Magnet Holder for MagSafe & Android – All Metal Zinc Alloy – Adjustable Kickstand – Attaches to Metal Surfaces – Not Pocket Size;21;https://m.media-amazon.com/images/I/71Kbrp0UIjL.jpg;https://m.media-amazon.com/images/I/71Kbrp0UIjL.jpg | https://m.media-amazon.com/images/I/41Gowf3fLBL.jpg | https://m.media-amazon.com/images/I/41Gowf3fLBL._SL75_.jpg | https://m.media-amazon.com/images/I/71tYSrPUhML.jpg | https://m.media-amazon.com/images/I/418rTLkjl2L.jpg | https://m.media-amazon.com/images/I/418rTLkjl2L._SL75_.jpg | https://m.media-amazon.com/images/I/61mdQC2nZyL.jpg | https://m.media-amazon.com/images/I/51dWYlzLA4L.jpg | https://m.media-amazon.com/images/I/51dWYlzLA4L._SL75_.jpg | https://m.media-amazon.com/images/I/71i4QkkZc0L.jpg | https://m.media-amazon.com/images/I/41lKf1oWy+L.jpg | https://m.media-amazon.com/images/I/41lKf1oWy+L._SL75_.jpg | https://m.media-amazon.com/images/I/71CvsAqjkDL.jpg | https://m.media-amazon.com/images/I/414JHpi8+zL.jpg | https://m.media-amazon.com/images/I/414JHpi8+zL._SL75_.jpg | https://m.media-amazon.com/images/I/71AIKi4MQPL.jpg | https://m.media-amazon.com/images/I/41fGc5tAHqL.jpg | https://m.media-amazon.com/images/I/41fGc5tAHqL._SL75_.jpg | https://m.media-amazon.com/images/I/71x+XCXS90L.jpg | https://m.media-amazon.com/images/I/41JK24eX3xL.jpg | https://m.media-amazon.com/images/I/41JK24eX3xL._SL75_.jpg
StickerPack03;;YES;B0FZ6QN89K;100;160;8.99;NEEDED_MONDAY;BLAUBECK;Gym Stickers 45 Pack - Workout Stickers for Water Bottle, Fitness Planner Stickers, Exercise Motivation Stickers - Waterproof Glossy Vinyl Aesthetic Stickers for Laptop, Gym Decor, Fitness Gifts;18;https://m.media-amazon.com/images/I/91h6NeU6NfL.jpg;https://m.media-amazon.com/images/I/91h6NeU6NfL.jpg | https://m.media-amazon.com/images/I/61Qxxs6MFwL.jpg | https://m.media-amazon.com/images/I/61Qxxs6MFwL._SL75_.jpg | https://m.media-amazon.com/images/I/81bUOF-PrTL.jpg | https://m.media-amazon.com/images/I/51bQX6yqfhL.jpg | https://m.media-amazon.com/images/I/51bQX6yqfhL._SL75_.jpg | https://m.media-amazon.com/images/I/81oRwp-g46L.jpg | https://m.media-amazon.com/images/I/41y5LRnS7EL.jpg | https://m.media-amazon.com/images/I/41y5LRnS7EL._SL75_.jpg | https://m.media-amazon.com/images/I/71leluy7QTL.jpg | https://m.media-amazon.com/images/I/41oKvzhZQuL.jpg | https://m.media-amazon.com/images/I/41oKvzhZQuL._SL75_.jpg | https://m.media-amazon.com/images/I/81D0+bD5LCL.jpg | https://m.media-amazon.com/images/I/510dJx1Y5pL.jpg | https://m.media-amazon.com/images/I/510dJx1Y5pL._SL75_.jpg | https://m.media-amazon.com/images/I/81pGIkUN2jL.jpg | https://m.media-amazon.com/images/I/51yMrkdi3jL.jpg | https://m.media-amazon.com/images/I/51yMrkdi3jL._SL75_.jpg
StickerPack01;;YES;B0DMV3VZFJ;81;949;9.99;5065017899035;BLAUBECK;34 Pack Running Stickers for Water Bottles & Laptops – The Perfect Running Club Gift for Cross Country Runners, Marathon Enthusiasts, and Runner Girls – Fun Track and XC;27;https://m.media-amazon.com/images/I/512nxQRPPlL.jpg;https://m.media-amazon.com/images/I/512nxQRPPlL.jpg | https://m.media-amazon.com/images/I/512nxQRPPlL._SL75_.jpg | https://m.media-amazon.com/images/I/8135DcKraSL.jpg | https://m.media-amazon.com/images/I/51SIFLbFxSL.jpg | https://m.media-amazon.com/images/I/51SIFLbFxSL._SL75_.jpg | https://m.media-amazon.com/images/I/71lJeAduM4L.jpg | https://m.media-amazon.com/images/I/51bKhnFjsHL.jpg | https://m.media-amazon.com/images/I/51bKhnFjsHL._SL75_.jpg | https://m.media-amazon.com/images/I/71uuZRSBqWL.jpg | https://m.media-amazon.com/images/I/518+ka3+2vL.jpg | https://m.media-amazon.com/images/I/518+ka3+2vL._SL75_.jpg | https://m.media-amazon.com/images/I/61AedOUwI1L.jpg | https://m.media-amazon.com/images/I/51IAnKRFUjL.jpg | https://m.media-amazon.com/images/I/51IAnKRFUjL._SL75_.jpg | https://m.media-amazon.com/images/I/71DC4YZFGUL.jpg | https://m.media-amazon.com/images/I/51SbkHsmlbL.jpg | https://m.media-amazon.com/images/I/51SbkHsmlbL._SL75_.jpg | https://m.media-amazon.com/images/I/61rGe4y4V2L.jpg | https://m.media-amazon.com/images/I/31CHOX1t5FL.jpg | https://m.media-amazon.com/images/I/31CHOX1t5FL._SL75_.jpg | https://m.media-amazon.com/images/I/51jxdWA6x+L.jpg | https://m.media-amazon.com/images/I/31sOzlB1Q4L.jpg | https://m.media-amazon.com/images/I/31sOzlB1Q4L._SL75_.jpg | https://m.media-amazon.com/images/I/61l7dXLgRZL.jpg | https://m.media-amazon.com/images/I/516VOUfBVqL.jpg | https://m.media-amazon.com/images/I/516VOUfBVqL._SL75_.jpg | https://m.media-amazon.com/images/I/81CKM5xjnPL.jpg
MagHolder06;;YES;B0GGYZCCP8;74;481;19.99;NEEDED_MONDAY;BLAUBECK;BLAUBECK Magnetic Gym Phone Holder for MagSafe & Android | Carbon Fiber Face + Transparent Acrylic Disc | Ball Joint 360° Mount for Squat Racks, Golf Carts & Metal Equipment | Metal Ring Included;18;https://m.media-amazon.com/images/I/41JKgam4b-L.jpg;https://m.media-amazon.com/images/I/41JKgam4b-L.jpg | https://m.media-amazon.com/images/I/41JKgam4b-L._SL75_.jpg | https://m.media-amazon.com/images/I/71UbDsQcHHL.jpg | https://m.media-amazon.com/images/I/41vQIyVVZaL.jpg | https://m.media-amazon.com/images/I/41vQIyVVZaL._SL75_.jpg | https://m.media-amazon.com/images/I/815wrjErorL.jpg | https://m.media-amazon.com/images/I/41SB-r4y4bL.jpg | https://m.media-amazon.com/images/I/41SB-r4y4bL._SL75_.jpg | https://m.media-amazon.com/images/I/81R6zjjg7qL.jpg | https://m.media-amazon.com/images/I/41nfIVzErOL.jpg | https://m.media-amazon.com/images/I/41nfIVzErOL._SL75_.jpg | https://m.media-amazon.com/images/I/81ft0r2o5CL.jpg | https://m.media-amazon.com/images/I/41g8EzRsjnL.jpg | https://m.media-amazon.com/images/I/41g8EzRsjnL._SL75_.jpg | https://m.media-amazon.com/images/I/81wwT3bWHBL.jpg | https://m.media-amazon.com/images/I/41E6UzIVVSL.jpg | https://m.media-amazon.com/images/I/41E6UzIVVSL._SL75_.jpg | https://m.media-amazon.com/images/I/81vU8gvRIvL.jpg
StickerPack05;;YES;B0GFCVWJX5;54;794;9.99;NEEDED_MONDAY;BLAUBECK;Coffee Stickers Set 46 Pack. Cute Kawaii Funny Coffee Cup Stickers for Water Bottles, Laptops, Tumblers and Planners. Glossy Vinyl. Coffee Lover Gifts, Party Favors and Coffee Bar Decor;24;https://m.media-amazon.com/images/I/81KAhcY9JJL.jpg;https://m.media-amazon.com/images/I/81KAhcY9JJL.jpg | https://m.media-amazon.com/images/I/61iTqQvRUlL.jpg | https://m.media-amazon.com/images/I/61iTqQvRUlL._SL75_.jpg | https://m.media-amazon.com/images/I/71gDjQK1vrL.jpg | https://m.media-amazon.com/images/I/51HqZLSD6DL.jpg | https://m.media-amazon.com/images/I/51HqZLSD6DL._SL75_.jpg | https://m.media-amazon.com/images/I/618mlgri3PL.jpg | https://m.media-amazon.com/images/I/41kwjEAjN6L.jpg | https://m.media-amazon.com/images/I/41kwjEAjN6L._SL75_.jpg | https://m.media-amazon.com/images/I/71K4cZnj9lL.jpg | https://m.media-amazon.com/images/I/51C7yMmnR1L.jpg | https://m.media-amazon.com/images/I/51C7yMmnR1L._SL75_.jpg | https://m.media-amazon.com/images/I/613j5AWVHvL.jpg | https://m.media-amazon.com/images/I/41ykkNIyQzL.jpg | https://m.media-amazon.com/images/I/41ykkNIyQzL._SL75_.jpg | https://m.media-amazon.com/images/I/61eL1CImMtL.jpg | https://m.media-amazon.com/images/I/41bmvVO2ZvL.jpg | https://m.media-amazon.com/images/I/41bmvVO2ZvL._SL75_.jpg | https://m.media-amazon.com/images/I/61Q724oS1hL.jpg | https://m.media-amazon.com/images/I/412VgiUYDRL.jpg | https://m.media-amazon.com/images/I/412VgiUYDRL._SL75_.jpg | https://m.media-amazon.com/images/I/71Q6lehNEUL.jpg | https://m.media-amazon.com/images/I/5126B41eIML.jpg | https://m.media-amazon.com/images/I/5126B41eIML._SL75_.jpg
Adhesive01;;YES;B0DTJFDWWB;41;331;9.99;NEEDED_MONDAY;BLAUBECK;BLAUBECK 4-Pack Adhesive Wall Hooks Medal Holder – No-Drill Mounting Kit with Screws – Heavy-Duty Peel & Stick Hooks for Runners Medal Display;9;https://m.media-amazon.com/images/I/61FXyPV9eiL.jpg;https://m.media-amazon.com/images/I/61FXyPV9eiL.jpg | https://m.media-amazon.com/images/I/31ZVouW2EcL.jpg | https://m.media-amazon.com/images/I/31ZVouW2EcL._SL75_.jpg | https://m.media-amazon.com/images/I/71THiVo665L.jpg | https://m.media-amazon.com/images/I/41+9Bs9e4nL.jpg | https://m.media-amazon.com/images/I/41+9Bs9e4nL._SL75_.jpg | https://m.media-amazon.com/images/I/71N+rn2oYmL.jpg | https://m.media-amazon.com/images/I/51blJiGKd-L.jpg | https://m.media-amazon.com/images/I/51blJiGKd-L._SL75_.jpg
StickerPack04;;YES;B0G6X9SMD1;34;742;8.99;NEEDED_MONDAY;BLAUBECK;Roatan Honduras Stickers 43 Pack - Honduras Souvenir Stickers for Water Bottle & Laptop | Matte Vinyl Honduras Gifts - Bay Islands, Baleadas, Catracho, Copan, Honduras Flag Decals;18;https://m.media-amazon.com/images/I/91rtAUwkLJL.jpg;https://m.media-amazon.com/images/I/91rtAUwkLJL.jpg | https://m.media-amazon.com/images/I/61QBDLMADzL.jpg | https://m.media-amazon.com/images/I/61QBDLMADzL._SL75_.jpg | https://m.media-amazon.com/images/I/81m6s6zTm7L.jpg | https://m.media-amazon.com/images/I/51j0s-kh6TL.jpg | https://m.media-amazon.com/images/I/51j0s-kh6TL._SL75_.jpg | https://m.media-amazon.com/images/I/81Zkcse99NL.jpg | https://m.media-amazon.com/images/I/41NkggAoV3L.jpg | https://m.media-amazon.com/images/I/41NkggAoV3L._SL75_.jpg | https://m.media-amazon.com/images/I/81KJFVtIhCL.jpg | https://m.media-amazon.com/images/I/417Os1I5ofL.jpg | https://m.media-amazon.com/images/I/417Os1I5ofL._SL75_.jpg | https://m.media-amazon.com/images/I/71LNa04C0gL.jpg | https://m.media-amazon.com/images/I/41xWHq5KRZL.jpg | https://m.media-amazon.com/images/I/41xWHq5KRZL._SL75_.jpg | https://m.media-amazon.com/images/I/71rIsGeLdgL.jpg | https://m.media-amazon.com/images/I/41sROauhn6L.jpg | https://m.media-amazon.com/images/I/41sROauhn6L._SL75_.jpg
PB-R5M6-S3DY;;YES;B0CSJK19FB;27;109;17.99;NEEDED_MONDAY;BLAUBECK;BLAUBECK Race Bib Vinyl Holder 20 Pack, Clear Bib Boards Sleeves Protector for Runners, Race Bib Display, Marathon Bib Display, Running Bib Holder(20 Extra Bib Sleeves);21;https://m.media-amazon.com/images/I/71+JYalLRLL.jpg;https://m.media-amazon.com/images/I/71+JYalLRLL.jpg | https://m.media-amazon.com/images/I/41fge1IZzVL.jpg | https://m.media-amazon.com/images/I/41fge1IZzVL._SL75_.jpg | https://m.media-amazon.com/images/I/81J341zO20L.jpg | https://m.media-amazon.com/images/I/51IR+o8wpoL.jpg | https://m.media-amazon.com/images/I/51IR+o8wpoL._SL75_.jpg | https://m.media-amazon.com/images/I/81oqPu0mbYL.jpg | https://m.media-amazon.com/images/I/51+f5ehZSJL.jpg | https://m.media-amazon.com/images/I/51+f5ehZSJL._SL75_.jpg | https://m.media-amazon.com/images/I/813eGZiuCTL.jpg | https://m.media-amazon.com/images/I/51GRjveKJEL.jpg | https://m.media-amazon.com/images/I/51GRjveKJEL._SL75_.jpg | https://m.media-amazon.com/images/I/81RuIoV3duL.jpg | https://m.media-amazon.com/images/I/51IAYYzvKzL.jpg | https://m.media-amazon.com/images/I/51IAYYzvKzL._SL75_.jpg | https://m.media-amazon.com/images/I/81P68ZC20NL.jpg | https://m.media-amazon.com/images/I/51LvvffPMoL.jpg | https://m.media-amazon.com/images/I/51LvvffPMoL._SL75_.jpg | https://m.media-amazon.com/images/I/71yKdNAeMTL.jpg | https://m.media-amazon.com/images/I/410WM0pu2rL.jpg | https://m.media-amazon.com/images/I/410WM0pu2rL._SL75_.jpg
